http://www.cars-data.com//en/audi-90-2.3-e-20v-specs/1368	Audi 90 2.3 E 20V	Audi 90	Audi	42.981	N.A.	sedan	4393	1372 mm	1695 mm	1203 kg	1203 kg		1990	petrol	2	4	4	5	gearbox	453 l	75 kg	- s	front	68 l			457 kg	1500 kg	dohc	petrol	2309 cc	125 KW	220 Nm
http://www.cars-data.com//en/audi-90-2.3-e-20v-quattro-specs/1369	Audi 90 2.3 E 20V Quattro	Audi 90	Audi	46.320	N.A.	sedan	4393	1372 mm	1695 mm	1320 kg	1320 kg		1989	petrol	2	4	5	5	gearbox	373 l	75 kg	8,4 s	front+rear	70 l	10,2 l/100km	220 km/h	460 kg	1500 kg	dohc	petrol	2309 cc	125 KW	220 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-gdi-i-drive-specs/17625	Hyundai i30 Wagon 1.6 GDI i-Drive	Hyundai i30 Wagon	Hyundai	21.995	C	stationwagon	4485	1500 mm	1780 mm	1198 kg	1198 kg	130 g/km	2012	petrol	2	5	6	5	gearbox	528-1642 l	80 kg	10,2 s	front	53 l	5,8 l/100km	192 km/h	622 kg	1400 kg	dohc	petrol	1591 cc	99 KW	164 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-i-catcher-specs/17641	Hyundai i30 Wagon 1.6 CRDi i-Catcher	Hyundai i30 Wagon	Hyundai	30.995	E	stationwagon	4485	1500 mm	1780 mm	1301 kg	1301 kg	110 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	11,2 s	front	53 l	4,2 l/100km	193 km/h	619 kg	1500 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-i-vision-specs/17640	Hyundai i30 Wagon 1.6 CRDi i-Vision	Hyundai i30 Wagon	Hyundai	34.990	G	stationwagon	4485	1500 mm	1780 mm	1323 kg	1323 kg	149 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	- s	front	53 l	5,6 l/100km	185 km/h	617 kg	1400 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-i-vision-specs/17639	Hyundai i30 Wagon 1.6 CRDi i-Vision	Hyundai i30 Wagon	Hyundai	27.495	E	stationwagon	4485	1500 mm	1780 mm	1301 kg	1301 kg	110 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	11,2 s	front	53 l	4,2 l/100km	193 km/h	619 kg	1500 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-business-edition-specs/17638	Hyundai i30 Wagon 1.6 CRDi Business Edition	Hyundai i30 Wagon	Hyundai	33.990	G	stationwagon	4485	1500 mm	1780 mm	1323 kg	1323 kg	149 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	- s	front	53 l	5,6 l/100km	185 km/h	617 kg	1400 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-business-edition-specs/17637	Hyundai i30 Wagon 1.6 CRDi Business Edition	Hyundai i30 Wagon	Hyundai	26.495	E	stationwagon	4485	1500 mm	1780 mm	1301 kg	1301 kg	110 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	11,2 s	front	53 l	4,2 l/100km	193 km/h	619 kg	1500 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-i-motion-specs/17636	Hyundai i30 Wagon 1.6 CRDi i-Motion	Hyundai i30 Wagon	Hyundai	32.490	G	stationwagon	4485	1500 mm	1780 mm	1323 kg	1323 kg	149 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	- s	front	53 l	5,6 l/100km	185 km/h	617 kg	1400 kg	dohc	diesel	1582 cc	94 KW	260 Nm
http://www.cars-data.com//en/hyundai-i30-wagon-1.6-crdi-i-motion-specs/17635	Hyundai i30 Wagon 1.6 CRDi i-Motion	Hyundai i30 Wagon	Hyundai	24.995	E	stationwagon	4485	1500 mm	1780 mm	1301 kg	1301 kg	110 g/km	2012	diesel	2	5	6	5	gearbox	528-1642 l	80 kg	11,2 s	front	53 l	4,2 l/100km	193 km/h	619 kg	1500 kg	dohc	diesel	1582 cc	94 KW	260 Nm
