http://www.cars-data.com//en/renault-megane-1.5-dci-85-expression-luxe-specs/39077	Renault Megane 1.5 dCi 85 Expression Luxe	Renault Megane	Renault	26.445	N.A.	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg		2005	diesel	2	5	5	5	gearbox	330-1190 l		12,7 s	front	60 l	4,5 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	63 KW	200 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-85-expression-comfort-specs/39076	Renault Megane 1.5 dCi 85 Expression Comfort	Renault Megane	Renault	25.245	N.A.	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg		2005	diesel	2	5	5	5	gearbox	330-1190 l		12,7 s	front	60 l	4,5 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	63 KW	200 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-t-165-tech-line-specs/39062	Renault Megane 2.0 16V T 165 Tech Line	Renault Megane	Renault	28.990	N.A.	hatchback	4209	1457 mm	1777 mm	1250 kg	1250 kg		2005	petrol	2	5	6	5	gearbox	330-1190 l		8,3 s	front	60 l	8,1 l/100km	220 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	120 KW	270 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-105-privilege-luxe-specs/39104	Renault Megane 1.5 dCi 105 Privilege Luxe	Renault Megane	Renault	28.645	N.A.	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg		2005	diesel	2	5	5	5	gearbox	330-1190 l		11,1 s	front	60 l	4,5 l/100km	185 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	78 KW	240 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-tech-line-specs/39052	Renault Megane 2.0 16V Tech Line	Renault Megane	Renault	27.990	G	hatchback	4209	1457 mm	1777 mm	1240 kg	1240 kg	201 g/km	2005	petrol	2	5	4	5	gearbox	330-1190 l		10,9 s	front	60 l	8,4 l/100km	194 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-tech-line-specs/39051	Renault Megane 2.0 16V Tech Line	Renault Megane	Renault	26.490	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2005	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-85-authentique-comfort-specs/39075	Renault Megane 1.5 dCi 85 Authentique Comfort	Renault Megane	Renault	24.945	N.A.	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg		2005	diesel	2	5	5	5	gearbox	330-1190 l		12,7 s	front	60 l	4,5 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	63 KW	200 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-tech-road-specs/39046	Renault Megane 2.0 16V Tech Road	Renault Megane	Renault	25.145	G	hatchback	4209	1457 mm	1777 mm	1240 kg	1240 kg	201 g/km	2005	petrol	2	5	4	5	gearbox	330-1190 l		10,9 s	front	60 l	8,4 l/100km	194 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-tech-road-specs/39045	Renault Megane 2.0 16V Tech Road	Renault Megane	Renault	23.645	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2005	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-tech-line-specs/39034	Renault Megane 1.6 16V Tech Line	Renault Megane	Renault	26.490	G	hatchback	4209	1457 mm	1777 mm	1200 kg	1200 kg	184 g/km	2005	petrol	2	5	4	5	gearbox	330-1190 l		12,8 s	front	60 l	7,7 l/100km	182 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-130-privilege-luxe-specs/39118	Renault Megane 1.9 dCi 130 Privilege Luxe	Renault Megane	Renault	30.545	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	148 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		9,0 s	front	60 l	5,6 l/100km	200 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	96 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-100-tech-line-specs/39092	Renault Megane 1.5 dCi 100 Tech Line	Renault Megane	Renault	30.690	G	hatchback	4209	1457 mm	1777 mm	1220 kg	1220 kg	153 g/km	2005	diesel	2	5	4	5	gearbox	330-1190 l		14,7 s	front	60 l	5,8 l/100km	174 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	74 KW	200 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-130-dynamique-luxe-specs/39116	Renault Megane 1.9 dCi 130 Dynamique Luxe	Renault Megane	Renault	30.145	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	148 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		9,0 s	front	60 l	5,6 l/100km	200 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	96 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-130-dynamique-comfort-specs/39115	Renault Megane 1.9 dCi 130 Dynamique Comfort	Renault Megane	Renault	28.945	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	148 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		9,0 s	front	60 l	5,6 l/100km	200 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	96 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-130-tech-road-specs/39114	Renault Megane 1.9 dCi 130 Tech Road	Renault Megane	Renault	28.495	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	148 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		9,0 s	front	60 l	5,6 l/100km	200 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	96 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-tech-line-specs/39111	Renault Megane 1.9 dCi 120 Tech Line	Renault Megane	Renault	30.890	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2005	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
